subjectID,block,condition,CDL name,gender,date of birth,breed,test date,age,sound problem,comments dogs
dog_41,3,teasing,Mogli5,M,12/04/2020,Border Collie,21/05/2021,13,yes,"1st and 4th trial no sound, 2nd and 3rd trial sound. In 3rd trial dog in other room barked because of this mogli5 went beeping"
dog_42,1,blocked,Kira15,F,02/05/2013,Golden Retriever,21/05/2021,96,yes,"sound broke down during 2nd trial, came back during 3rd and broke down again before 4th. In 1st, 2nd trial pawing and lateral at same time. "
dog_42,2,clumsy,Kira15,F,02/05/2013,Golden Retriever,21/05/2021,96,yes,3rd trial sound broke down.
dog_42,3,teasing,Kira15,F,02/05/2013,Golden Retriever,21/05/2021,96,yes,sound broke down during 2nd trial
dog_43,1,teasing,Baldur,M,05/05/2015,Irish Soft Coated Wheaten Terrier,14/05/2021,72,no,
dog_43,2,clumsy,Baldur,M,05/05/2015,Irish Soft Coated Wheaten Terrier,14/05/2021,72,no,
dog_43,3,blocked,Baldur,M,05/05/2015,Irish Soft Coated Wheaten Terrier,14/05/2021,72,no,
dog_44,1,clumsy,Luna22,F,28/08/2015,"Mix (Border Collie, Border Collie x White Swiss Shepherd)",11/05/2021,68,no,
dog_44,2,teasing,Luna22,F,28/08/2015,"Mix (Border Collie, Border Collie x White Swiss Shepherd)",11/05/2021,68,no,
dog_44,3,blocked,Luna22,F,28/08/2015,"Mix (Border Collie, Border Collie x White Swiss Shepherd)",11/05/2021,68,no,
dog_45,1,blocked,Nala10,F,16/05/2010,Golden Retriever,20/05/2021,132,yes,no sound whole video. Breathes heavily in all 4 trials. Beeping in 2nd trial.
dog_45,2,teasing,Nala10,F,16/05/2010,Golden Retriever,20/05/2021,132,yes,"no sound whole video. Breathes heavily 1st, 2nd and 3rd trial."
dog_45,3,clumsy,Nala10,F,16/05/2010,Golden Retriever,20/05/2021,132,yes,no sound whole video. Breathes heavily in all 4 trials.
dog_46,1,teasing,Lucifer,M,20/05/2018,Miniature Pinscher,20/05/2021,36,yes,no sound whole video. In 3rd and 4th trial sitting on the chaire behind the owner.
dog_46,2,blocked,Lucifer,M,20/05/2018,Miniature Pinscher,20/05/2021,36,yes,no sound whole video.
dog_46,3,clumsy,Lucifer,M,20/05/2018,Miniature Pinscher,20/05/2021,36,yes,no sound whole video.
dog_47,1,clumsy,Dunni,F,21/02/2020,Miniature Pinscher ,19/05/2021,14,yes,no sound whole video. In 3rd trial sausage fell between slanted surface and barrier. Dog couldn't get the sausage and the test could continue
dog_47,2,blocked,Dunni,F,21/02/2020,Miniature Pinscher ,19/05/2021,14,yes,no sound whole video. 4th trial barrier pulled out
dog_47,3,teasing,Dunni,F,21/02/2020,Miniature Pinscher ,19/05/2021,14,yes,no sound whole video
dog_48,1,blocked,Jolie,F,04/04/2010,"Mix (Pinscher, Whippet)",19/05/2021,133,yes,no sound whole video. Beeping in all trials.
dog_48,2,clumsy,Jolie,F,04/04/2010,"Mix (Pinscher, Whippet)",19/05/2021,133,yes,no sound whole video. 1st and 2nd trial beeping. 3rd trial sausage fell throw but couldn't get it.
dog_48,3,teasing,Jolie,F,04/04/2010,"Mix (Pinscher, Whippet)",19/05/2021,133,yes,no sound whole video. 1st and 2nd trial beeping. 3rd and 4th trial beeping and barking.
